city_id,invader_id,media_id,timestamp_utc
AIX,AIX_01,3646933926967012921,2025-06-03T16:33:49.158419
AIX,AIX_02,3646933926967012921,2025-06-03T16:33:49.158419
AMS,AMS_01,3646933926967012921,2025-06-03T16:33:49.158419
AMS,AMS_02,3646933926967012921,2025-06-03T16:33:49.158443
AMS,AMS_03,3646933926967012921,2025-06-03T16:33:49.158449
AMS,AMS_04,3646933926967012921,2025-06-03T16:33:49.158455
AMS,AMS_05,3646933926967012921,2025-06-03T16:33:49.158460
AMS,AMS_06,3646933926967012921,2025-06-03T16:33:49.158465
AMS,AMS_07,3646933926967012921,2025-06-03T16:33:49.158470
AMS,AMS_08,3646933926967012921,2025-06-03T16:33:49.158475
AMS,AMS_09,3646933926967012921,2025-06-03T16:33:49.158480
AMS,AMS_10,3646933926967012921,2025-06-03T16:33:49.158485
AMS,AMS_11,3646933926967012921,2025-06-03T16:33:49.158490
AMS,AMS_12,3646933926967012921,2025-06-03T16:33:49.158495
AMS,AMS_13,3646933926967012921,2025-06-03T16:33:49.158500
AMS,AMS_14,3646933926967012921,2025-06-03T16:33:49.158505
AMS,AMS_15,3646933926967012921,2025-06-03T16:33:49.158509
AMS,AMS_16,3646933926967012921,2025-06-03T16:33:49.158514
AMS,AMS_17,3646933926967012921,2025-06-03T16:33:49.158519
AMS,AMS_18,3646933926967012921,2025-06-03T16:33:49.158524
AMS,AMS_19,3646933926967012921,2025-06-03T16:33:49.158529
AMS,AMS_20,3646933926967012921,2025-06-03T16:33:49.158534
AMS,AMS_21,3646933926967012921,2025-06-03T16:33:49.158538
AMS,AMS_01,3646936108634454851,2025-06-03T16:38:09.124453
AMS,AMS_02,3646936108634454851,2025-06-03T16:38:09.124890
AMS,AMS_03,3646936108634454851,2025-06-03T16:38:09.124896
AMS,AMS_04,3646936108634454851,2025-06-03T16:38:09.124900
AMS,AMS_05,3646936108634454851,2025-06-03T16:38:09.124903
AMS,AMS_06,3646936108634454851,2025-06-03T16:38:09.124906
AMS,AMS_07,3646936108634454851,2025-06-03T16:38:09.124909
AMS,AMS_08,3646936108634454851,2025-06-03T16:38:09.124912
AMS,AMS_09,3646936108634454851,2025-06-03T16:38:09.124915
AMS,AMS_10,3646936108634454851,2025-06-03T16:38:09.124918
AMS,AMS_11,3646936108634454851,2025-06-03T16:38:09.124921
AMS,AMS_12,3646936108634454851,2025-06-03T16:38:09.124923
AMS,AMS_13,3646936108634454851,2025-06-03T16:38:09.124926
AMS,AMS_14,3646936108634454851,2025-06-03T16:38:09.124929
AMS,AMS_15,3646936108634454851,2025-06-03T16:38:09.124932
